state,policy,tax_amount,unit,year,note,source
Alabama,State sales tax,0.040,ad valorem rate,2018,,Tax Foundation
Alaska,State sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Arizona,State sales tax,0.056,ad valorem rate,2018,,Tax Foundation
Arkansas,State sales tax,0.065,ad valorem rate,2018,,Tax Foundation
California,State sales tax,0.073,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Colorado,State sales tax,0.029,ad valorem rate,2018,,Tax Foundation
Connecticut,State sales tax,0.064,ad valorem rate,2018,,Tax Foundation
Delaware,State sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Florida,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Georgia,State sales tax,0.040,ad valorem rate,2018,,Tax Foundation
Hawaii,State sales tax,0.040,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Idaho,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Illinois,State sales tax,0.063,ad valorem rate,2018,,Tax Foundation
Indiana,State sales tax,0.070,ad valorem rate,2018,,Tax Foundation
Iowa,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Kansas,State sales tax,0.065,ad valorem rate,2018,,Tax Foundation
Kentucky,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Louisiana,State sales tax,0.050,ad valorem rate,2018,,Tax Foundation
Maine,State sales tax,0.055,ad valorem rate,2018,,Tax Foundation
Maryland,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Massachusetts,State sales tax,0.063,ad valorem rate,2018,,Tax Foundation
Michigan,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Minnesota,State sales tax,0.069,ad valorem rate,2018,,Tax Foundation
Mississippi,State sales tax,0.070,ad valorem rate,2018,,Tax Foundation
Missouri,State sales tax,0.042,ad valorem rate,2018,,Tax Foundation
Montana,State sales tax,0.000,ad valorem rate,2018,Special taxes in local resort areas are not counted here.,Tax Foundation
Nebraska,State sales tax,0.055,ad valorem rate,2018,,Tax Foundation
Nevada,State sales tax,0.069,ad valorem rate,2018,,Tax Foundation
New Hampshire,State sales tax,0.000,ad valorem rate,2018,,Tax Foundation
New Jersey,State sales tax,0.066,ad valorem rate,2018,Salem County is not subject to the statewide sales tax rate and collects a local rate of 3.3125%. New Jersey’s average local score is represented as a negative.,Tax Foundation
New Mexico,State sales tax,0.051,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
New York,State sales tax,0.040,ad valorem rate,2018,,Tax Foundation
North Carolina,State sales tax,0.048,ad valorem rate,2018,,Tax Foundation
North Dakota,State sales tax,0.050,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Ohio,State sales tax,0.058,ad valorem rate,2018,,Tax Foundation
Oklahoma,State sales tax,0.045,ad valorem rate,2018,,Tax Foundation
Oregon,State sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Pennsylvania,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Rhode Island,State sales tax,0.070,ad valorem rate,2018,,Tax Foundation
South Carolina,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
South Dakota,State sales tax,0.045,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Tennessee,State sales tax,0.070,ad valorem rate,2018,,Tax Foundation
Texas,State sales tax,0.063,ad valorem rate,2018,,Tax Foundation
Utah,State sales tax,0.060,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Vermont,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Virginia,State sales tax,0.053,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Washington,State sales tax,0.065,ad valorem rate,2018,,Tax Foundation
West Virginia,State sales tax,0.060,ad valorem rate,2018,,Tax Foundation
Wisconsin,State sales tax,0.050,ad valorem rate,2018,,Tax Foundation
Wyoming,State sales tax,0.040,ad valorem rate,2018,,Tax Foundation
D.C.,State sales tax,0.058,ad valorem rate,2018,,Tax Foundation
Alabama,Average local sales tax,0.051,ad valorem rate,2018,,Tax Foundation
Alaska,Average local sales tax,0.018,ad valorem rate,2018,,Tax Foundation
Arizona,Average local sales tax,0.027,ad valorem rate,2018,,Tax Foundation
Arkansas,Average local sales tax,0.029,ad valorem rate,2018,,Tax Foundation
California,Average local sales tax,0.013,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Colorado,Average local sales tax,0.046,ad valorem rate,2018,,Tax Foundation
Connecticut,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Delaware,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Florida,Average local sales tax,0.008,ad valorem rate,2018,,Tax Foundation
Georgia,Average local sales tax,0.032,ad valorem rate,2018,,Tax Foundation
Hawaii,Average local sales tax,0.004,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Idaho,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Illinois,Average local sales tax,0.025,ad valorem rate,2018,,Tax Foundation
Indiana,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Iowa,Average local sales tax,0.008,ad valorem rate,2018,,Tax Foundation
Kansas,Average local sales tax,0.022,ad valorem rate,2018,,Tax Foundation
Kentucky,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Louisiana,Average local sales tax,0.050,ad valorem rate,2018,,Tax Foundation
Maine,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Maryland,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Massachusetts,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Michigan,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Minnesota,Average local sales tax,0.006,ad valorem rate,2018,,Tax Foundation
Mississippi,Average local sales tax,0.001,ad valorem rate,2018,,Tax Foundation
Missouri,Average local sales tax,0.038,ad valorem rate,2018,,Tax Foundation
Montana,Average local sales tax,0.000,ad valorem rate,2018,Special taxes in local resort areas are not counted here.,Tax Foundation
Nebraska,Average local sales tax,0.014,ad valorem rate,2018,,Tax Foundation
Nevada,Average local sales tax,0.013,ad valorem rate,2018,,Tax Foundation
New Hampshire,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
New Jersey,Average local sales tax,0.000,ad valorem rate,2018,Salem County is not subject to the statewide sales tax rate and collects a local rate of 3.3125%. New Jersey’s average local score is represented as a negative.,Tax Foundation
New Mexico,Average local sales tax,0.025,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
New York,Average local sales tax,0.045,ad valorem rate,2018,,Tax Foundation
North Carolina,Average local sales tax,0.022,ad valorem rate,2018,,Tax Foundation
North Dakota,Average local sales tax,0.018,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Ohio,Average local sales tax,0.014,ad valorem rate,2018,,Tax Foundation
Oklahoma,Average local sales tax,0.044,ad valorem rate,2018,,Tax Foundation
Oregon,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Pennsylvania,Average local sales tax,0.003,ad valorem rate,2018,,Tax Foundation
Rhode Island,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
South Carolina,Average local sales tax,0.014,ad valorem rate,2018,,Tax Foundation
South Dakota,Average local sales tax,0.019,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Tennessee,Average local sales tax,0.025,ad valorem rate,2018,,Tax Foundation
Texas,Average local sales tax,0.019,ad valorem rate,2018,,Tax Foundation
Utah,Average local sales tax,0.008,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Vermont,Average local sales tax,0.002,ad valorem rate,2018,,Tax Foundation
Virginia,Average local sales tax,0.003,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Washington,Average local sales tax,0.027,ad valorem rate,2018,,Tax Foundation
West Virginia,Average local sales tax,0.004,ad valorem rate,2018,,Tax Foundation
Wisconsin,Average local sales tax,0.004,ad valorem rate,2018,,Tax Foundation
Wyoming,Average local sales tax,0.015,ad valorem rate,2018,,Tax Foundation
D.C.,Average local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Alabama,Combined state and local sales taxes,0.091,ad valorem rate,2018,,Tax Foundation
Alaska,Combined state and local sales taxes,0.018,ad valorem rate,2018,,Tax Foundation
Arizona,Combined state and local sales taxes,0.083,ad valorem rate,2018,,Tax Foundation
Arkansas,Combined state and local sales taxes,0.094,ad valorem rate,2018,,Tax Foundation
California,Combined state and local sales taxes,0.085,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Colorado,Combined state and local sales taxes,0.075,ad valorem rate,2018,,Tax Foundation
Connecticut,Combined state and local sales taxes,0.064,ad valorem rate,2018,,Tax Foundation
Delaware,Combined state and local sales taxes,0.000,ad valorem rate,2018,,Tax Foundation
Florida,Combined state and local sales taxes,0.068,ad valorem rate,2018,,Tax Foundation
Georgia,Combined state and local sales taxes,0.072,ad valorem rate,2018,,Tax Foundation
Hawaii,Combined state and local sales taxes,0.044,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Idaho,Combined state and local sales taxes,0.060,ad valorem rate,2018,,Tax Foundation
Illinois,Combined state and local sales taxes,0.087,ad valorem rate,2018,,Tax Foundation
Indiana,Combined state and local sales taxes,0.070,ad valorem rate,2018,,Tax Foundation
Iowa,Combined state and local sales taxes,0.068,ad valorem rate,2018,,Tax Foundation
Kansas,Combined state and local sales taxes,0.087,ad valorem rate,2018,,Tax Foundation
Kentucky,Combined state and local sales taxes,0.060,ad valorem rate,2018,,Tax Foundation
Louisiana,Combined state and local sales taxes,0.100,ad valorem rate,2018,,Tax Foundation
Maine,Combined state and local sales taxes,0.055,ad valorem rate,2018,,Tax Foundation
Maryland,Combined state and local sales taxes,0.060,ad valorem rate,2018,,Tax Foundation
Massachusetts,Combined state and local sales taxes,0.063,ad valorem rate,2018,,Tax Foundation
Michigan,Combined state and local sales taxes,0.060,ad valorem rate,2018,,Tax Foundation
Minnesota,Combined state and local sales taxes,0.074,ad valorem rate,2018,,Tax Foundation
Mississippi,Combined state and local sales taxes,0.071,ad valorem rate,2018,,Tax Foundation
Missouri,Combined state and local sales taxes,0.080,ad valorem rate,2018,,Tax Foundation
Montana,Combined state and local sales taxes,0.000,ad valorem rate,2018,Special taxes in local resort areas are not counted here.,Tax Foundation
Nebraska,Combined state and local sales taxes,0.069,ad valorem rate,2018,,Tax Foundation
Nevada,Combined state and local sales taxes,0.081,ad valorem rate,2018,,Tax Foundation
New Hampshire,Combined state and local sales taxes,0.000,ad valorem rate,2018,,Tax Foundation
New Jersey,Combined state and local sales taxes,0.066,ad valorem rate,2018,Salem County is not subject to the statewide sales tax rate and collects a local rate of 3.3125%. New Jersey’s average local score is represented as a negative.,Tax Foundation
New Mexico,Combined state and local sales taxes,0.077,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
New York,Combined state and local sales taxes,0.085,ad valorem rate,2018,,Tax Foundation
North Carolina,Combined state and local sales taxes,0.070,ad valorem rate,2018,,Tax Foundation
North Dakota,Combined state and local sales taxes,0.068,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
